item number,timestamp,item,material,supplier,location,season,cost price,sale price,mrp,quality,availability,competitor price,price_difference,price_status,optimized price
51,10/22/2024 17:00:20,Dupatta,Georgette,Om Textiles,Jaipur,Summer,180,220,300,Good,Yes,1679,-1459,Underpriced,242.0
52,10/22/2024 17:02:15,Saree,Chiffon,Ravi Textiles,Surat,All time,400,450,600,Good,Yes,420,30,Competitive,450.0
53,10/22/2024 17:04:10,Pillow cover,Cotton,RSN Textiles,Erode,All time,30,40,60,Good,Yes,269,-229,Underpriced,44.0
54,10/22/2024 17:06:22,Shirt,Cotton,Sri Velavan Textiles,Erode,All time,200,230,280,Good,Yes,599,-369,Underpriced,253.0
55,10/22/2024 17:08:35,Kurta,Rayon,Swastik Textiles,Jaipur,Summer,300,340,400,Good,Yes,310,30,Competitive,340.0
56,10/22/2024 17:10:55,Pajamas,Linen,Vimal Textiles,Ahmedabad,All time,200,230,280,Good,Yes,649,-419,Underpriced,253.0
57,10/22/2024 17:12:30,Nighty,Cotton,Manav Textiles,Surat,All time,350,400,500,Good,Yes,370,30,Competitive,400.0
58,10/22/2024 17:14:12,Bedsheet,Cotton,RR Textiles,Surat,All time,200,240,300,Good,Yes,620,-380,Underpriced,264.0
59,10/22/2024 17:16:30,Saree,Silk,Balaji Textiles,Surat,Marriage,600,650,850,Good,Yes,620,30,Competitive,650.0
60,10/22/2024 17:18:40,Handkerchief,Cotton,Sai Ram Fabrics,Tirupur,All time,20,30,40,Good,Yes,699,-669,Underpriced,33.0
61,10/22/2024 17:20:15,T-shirt,Cotton,Sri Velavan Textiles,Erode,All time,220,250,300,Good,Yes,1399,-1149,Underpriced,275.0
62,10/22/2024 17:22:30,Pajamas,Rayon,Vimal Textiles,Ahmedabad,All time,160,180,250,Good,Yes,899,-719,Underpriced,198.0
63,10/22/2024 17:24:10,Saree,Silk,Emco Textiles,Jetpur,Marriage,700,750,950,Good,Yes,720,30,Competitive,750.0
64,10/22/2024 17:26:05,Lungi,Cotton,Shree Ram Textiles,Erode,All time,100,120,150,Good,Yes,90,30,Competitive,120.0
65,10/22/2024 17:28:20,Bedsheet,Cotton,RR Textiles,Surat,All time,180,210,250,Good,Yes,939,-729,Underpriced,231.0
66,10/22/2024 17:30:40,Saree,Silk,Sri Lakshmi Silks,Surat,Marriage,650,700,900,Good,Yes,1999,-1299,Underpriced,770.0
67,10/22/2024 17:32:12,Blouse,Cotton,Sathya Textiles,Pali,All time,70,90,110,Good,Yes,389,-299,Underpriced,99.0
68,10/22/2024 17:34:05,Pillow cover,Cotton,RSN Textiles,Erode,All time,30,40,60,Good,Yes,265,-225,Underpriced,44.0
69,10/22/2024 17:36:22,Shirt,Cotton,Sri Velavan Textiles,Erode,All time,200,220,280,Good,Yes,1599,-1379,Underpriced,242.0
70,10/22/2024 17:38:35,Blouse,Silk,Shree Fabrics,Pali,All time,120,140,180,Good,Yes,389,-249,Underpriced,154.0
71,10/22/2024 17:40:18,Kurta,Cotton,Vasanth Textiles,Tirupur,Summer,320,360,450,Good,Yes,330,30,Competitive,360.0
72,10/22/2024 17:42:05,Skirt,Linen,Royal Fabrics,Ahmedabad,Summer,220,250,300,Good,Yes,329,-79,Underpriced,275.0
73,10/22/2024 17:44:20,Saree,Chiffon,Ravi Textiles,Surat,All time,400,450,600,Good,Yes,420,30,Competitive,450.0
74,10/22/2024 17:46:10,Dupatta,Silk,Balaji Textiles,Surat,All time,280,320,400,Good,Yes,237,83,Overpriced,336.0
75,10/22/2024 17:48:25,Lungi,Cotton,Shree Ram Textiles,Erode,All time,100,130,150,Good,Yes,799,-669,Underpriced,143.0
76,10/22/2024 17:50:30,Handkerchief,Cotton,Sai Ram Fabrics,Tirupur,All time,20,25,40,Good,Yes,294,-269,Underpriced,27.5
77,10/22/2024 17:52:12,Towel,Cotton,Sri Textiles,Karur,All time,100,120,150,Good,Yes,511,-391,Underpriced,132.0
78,10/22/2024 17:54:05,Skirt,Rayon,Royal Fabrics,Ahmedabad,Summer,240,280,350,Good,Yes,329,-49,Underpriced,308.0
79,10/22/2024 17:56:20,Kurta,Linen,Swastik Textiles,Jaipur,Summer,300,340,450,Good,Yes,310,30,Competitive,340.0
80,10/22/2024 17:58:30,Pajamas,Cotton,Vimal Textiles,Ahmedabad,All time,150,170,200,Good,Yes,140,30,Competitive,170.0
81,10/22/2024 18:00:15,Bedsheet,Cotton,RR Textiles,Surat,All time,180,210,250,Good,Yes,599,-389,Underpriced,231.0
82,10/22/2024 18:02:20,Saree,Silk,Sri Lakshmi Silks,Surat,Marriage,700,750,900,Good,Yes,720,30,Competitive,750.0
83,10/22/2024 18:04:10,Dupatta,Cotton,Om Textiles,Jaipur,Summer,200,240,300,Good,Yes,1679,-1439,Underpriced,264.0
84,10/22/2024 18:06:22,Shirt,Linen,Sri Velavan Textiles,Erode,All time,250,280,350,Good,Yes,879,-599,Underpriced,308.0
85,10/22/2024 18:08:05,Pillow cover,Cotton,RSN Textiles,Erode,All time,40,50,70,Good,Yes,497,-447,Underpriced,55.0
86,10/22/2024 18:10:15,Kurta,Rayon,Vasanth Textiles,Tirupur,Summer,350,380,450,Good,Yes,350,30,Competitive,380.0
87,10/22/2024 18:12:20,Blouse,Cotton,Shree Fabrics,Pali,All time,70,90,120,Good,Yes,389,-299,Underpriced,99.0
88,10/22/2024 18:14:05,Handkerchief,Cotton,Sai Ram Fabrics,Tirupur,All time,20,25,40,Good,Yes,294,-269,Underpriced,27.5
89,10/22/2024 18:16:30,Skirt,Chiffon,Ravi Textiles,Surat,All time,300,340,420,Good,Yes,329,11,Competitive,340.0
90,10/22/2024 18:18:15,Pajamas,Linen,Vimal Textiles,Ahmedabad,All time,200,230,300,Good,Yes,649,-419,Underpriced,253.0
91,10/22/2024 18:20:40,Saree,Chiffon,Emco Textiles,Jetpur,All time,450,500,600,Good,Yes,470,30,Competitive,500.0
92,10/22/2024 18:22:10,Bedsheet,Cotton,RR Textiles,Surat,All time,180,220,280,Good,Yes,939,-719,Underpriced,242.0
93,10/22/2024 18:24:05,Shirt,Cotton,Sri Velavan Textiles,Erode,All time,200,230,300,Good,Yes,1599,-1369,Underpriced,253.0
94,10/22/2024 18:26:10,Dupatta,Silk,Balaji Textiles,Surat,All time,280,320,400,Good,Yes,290,30,Competitive,320.0
95,10/22/2024 18:28:05,Lungi,Cotton,Shree Ram Textiles,Erode,All time,100,120,150,Good,Yes,999,-879,Underpriced,132.0
96,10/22/2024 18:30:22,Blouse,Cotton,Shree Fabrics,Pali,All time,70,90,100,Good,Yes,389,-299,Underpriced,99.0
97,10/22/2024 18:32:15,Pajamas,Cotton,Vimal Textiles,Ahmedabad,All time,150,170,220,Good,Yes,649,-479,Underpriced,187.0
98,10/22/2024 18:34:10,Handkerchief,Cotton,Sai Ram Fabrics,Tirupur,All time,20,25,35,Good,Yes,699,-674,Underpriced,27.5
99,10/22/2024 18:36:30,Skirt,Chiffon,Ravi Textiles,Surat,All time,300,350,420,Good,Yes,299,51,Overpriced,360.0
100,10/22/2024 18:38:25,Bedsheet,Linen,Sadhna Textiles,Jaipur,All time,250,280,350,Good,Yes,939,-659,Underpriced,308.0
101,10/22/2024 18:40:10,T-shirt,Cotton,Sri Velavan Textiles,Erode,All time,200,230,300,Good,Yes,799,-569,Underpriced,253.0
102,10/22/2024 18:42:15,Lungi,Cotton,Shree Ram Textiles,Erode,All time,110,140,180,Good,Yes,799,-659,Underpriced,154.0
103,10/22/2024 18:44:05,Pajamas,Rayon,Vimal Textiles,Ahmedabad,Summer,180,210,250,Good,Yes,180,30,Competitive,210.0
104,10/22/2024 18:46:15,Kurta,Linen,Swastik Textiles,Jaipur,Summer,320,360,450,Good,Yes,330,30,Competitive,360.0
105,10/22/2024 18:48:25,Dupatta,Silk,Balaji Textiles,Surat,All time,280,320,400,Good,Yes,237,83,Overpriced,336.0
106,10/22/2024 18:50:05,Saree,Silk,Sri Lakshmi Silks,Surat,Marriage,650,700,850,Good,Yes,670,30,Competitive,700.0
107,10/22/2024 18:52:30,Handkerchief,Cotton,Sai Ram Fabrics,Tirupur,All time,20,25,40,Good,Yes,198,-173,Underpriced,27.5
108,10/22/2024 18:54:15,Pillow cover,Cotton,RSN Textiles,Erode,All time,30,40,50,Good,Yes,497,-457,Underpriced,44.0
109,10/22/2024 18:56:10,Shirt,Linen,Sri Velavan Textiles,Erode,All time,250,280,350,Good,Yes,599,-319,Underpriced,308.0
110,10/22/2024 18:58:20,Bedsheet,Cotton,RR Textiles,Surat,All time,180,210,260,Good,Yes,630,-420,Underpriced,231.0
111,10/22/2024 19:00:05,Saree,Chiffon,Ravi Textiles,Surat,All time,400,450,600,Good,Yes,420,30,Competitive,450.0
112,10/22/2024 19:02:15,Skirt,Linen,Royal Fabrics,Ahmedabad,Summer,220,250,320,Good,Yes,299,-49,Underpriced,275.0
113,10/22/2024 19:04:05,Pajamas,Cotton,Vimal Textiles,Ahmedabad,All time,150,180,250,Good,Yes,649,-469,Underpriced,198.0
114,10/22/2024 19:06:10,Kurta,Rayon,Vasanth Textiles,Tirupur,Summer,340,380,450,Good,Yes,660,-280,Underpriced,418.0
115,10/22/2024 19:08:15,Blouse,Cotton,Sathya Textiles,Pali,All time,70,90,120,Good,Yes,60,30,Competitive,90.0
116,10/22/2024 19:10:25,Saree,Silk,Emco Textiles,Jetpur,Marriage,700,750,950,Good,Yes,720,30,Competitive,750.0
117,10/22/2024 19:12:15,Dupatta,Cotton,Om Textiles,Jaipur,Summer,200,230,300,Good,Yes,237,-7,Competitive,230.0
118,10/22/2024 19:14:10,Lungi,Cotton,Shree Ram Textiles,Erode,All time,110,140,180,Good,Yes,298,-158,Underpriced,154.0
119,10/22/2024 19:16:05,Blouse,Silk,Shree Fabrics,Pali,All time,130,150,200,Good,Yes,449,-299,Underpriced,165.0
120,10/22/2024 19:18:20,Skirt,Chiffon,Ravi Textiles,Surat,All time,300,340,420,Good,Yes,299,41,Overpriced,360.0
121,10/22/2024 19:20:05,T-shirt,Cotton,Sri Velavan Textiles,Erode,All time,200,230,300,Good,Yes,1399,-1169,Underpriced,253.0
122,10/22/2024 19:22:10,Kurta,Linen,Swastik Textiles,Jaipur,Summer,320,360,450,Good,Yes,330,30,Competitive,360.0
123,10/22/2024 19:24:15,Bedsheet,Cotton,RR Textiles,Surat,All time,180,210,260,Good,Yes,599,-389,Underpriced,231.0
124,10/22/2024 19:26:05,Pillow cover,Cotton,RSN Textiles,Erode,All time,30,40,50,Good,Yes,265,-225,Underpriced,44.0
125,10/22/2024 19:28:15,Blouse,Cotton,Shree Fabrics,Pali,All time,70,90,120,Good,Yes,60,30,Competitive,90.0
126,10/22/2024 19:30:05,Dupatta,Silk,Balaji Textiles,Surat,All time,280,320,400,Good,Yes,1679,-1359,Underpriced,352.0
127,10/22/2024 19:32:10,Lungi,Cotton,Shree Ram Textiles,Erode,All time,110,130,160,Good,Yes,100,30,Competitive,130.0
128,10/22/2024 19:34:05,Shirt,Linen,Sri Velavan Textiles,Erode,All time,250,280,350,Good,Yes,599,-319,Underpriced,308.0
129,10/22/2024 19:36:15,Saree,Chiffon,Ravi Textiles,Surat,All time,400,450,600,Good,Yes,1999,-1549,Underpriced,495.0
130,10/22/2024 19:38:10,Skirt,Linen,Royal Fabrics,Ahmedabad,Summer,220,250,320,Good,Yes,329,-79,Underpriced,275.0
131,10/22/2024 19:40:05,Pajamas,Cotton,Vimal Textiles,Ahmedabad,All time,150,180,250,Good,Yes,649,-469,Underpriced,198.0
132,10/22/2024 19:42:15,Kurta,Rayon,Vasanth Textiles,Tirupur,Summer,340,380,450,Good,Yes,350,30,Competitive,380.0
133,10/22/2024 19:44:05,Handkerchief,Cotton,Sai Ram Fabrics,Tirupur,All time,20,25,40,Good,Yes,699,-674,Underpriced,27.5
134,10/22/2024 19:46:10,Pajamas,Rayon,Vimal Textiles,Ahmedabad,Summer,180,210,250,Good,Yes,499,-289,Underpriced,231.0
135,10/22/2024 19:48:05,Saree,Silk,Sri Lakshmi Silks,Surat,Marriage,650,700,850,Good,Yes,670,30,Competitive,700.0
136,10/22/2024 19:50:10,Blouse,Cotton,Sathya Textiles,Pali,All time,70,90,120,Good,Yes,449,-359,Underpriced,99.0
137,10/22/2024 19:52:15,Bedsheet,Linen,Sadhna Textiles,Jaipur,All time,250,280,350,Good,Yes,630,-350,Underpriced,308.0
138,10/22/2024 19:54:10,Saree,Silk,Emco Textiles,Jetpur,Marriage,700,750,950,Good,Yes,1999,-1249,Underpriced,825.0
139,10/22/2024 19:56:05,Handkerchief,Cotton,Sai Ram Fabrics,Tirupur,All time,20,25,35,Good,Yes,294,-269,Underpriced,27.5
140,10/22/2024 19:58:20,Dupatta,Cotton,Om Textiles,Jaipur,Summer,200,230,300,Good,Yes,630,-400,Underpriced,253.0
141, 10/22/2024 20:00:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,220,30,Competitive,250.0
142, 10/22/2024 20:02:10, Lungi, Cotton, Shree Ram Textiles, Erode, All time,100,130,160, Good, Yes,949,-819,Underpriced,143.0
143, 10/22/2024 20:04:15, Kurta, Linen, Swastik Textiles, Jaipur, Summer,320,360,450, Good, Yes,522,-162,Underpriced,396.0
144, 10/22/2024 20:06:05, Saree, Chiffon, Ravi Textiles, Surat, All time,400,450,600, Good, Yes,420,30,Competitive,450.0
145, 10/22/2024 20:08:15, Blouse, Silk, Shree Fabrics, Pali, All time,130,150,200, Good, Yes,539,-389,Underpriced,165.0
146, 10/22/2024 20:10:05, Dupatta, Cotton, Balaji Textiles, Surat, Summer,280,320,400, Good, Yes,630,-310,Underpriced,352.0
147, 10/22/2024 20:12:10, Pillow cover, Cotton, RSN Textiles, Erode, All time,30,40,50, Good, Yes,265,-225,Underpriced,44.0
148, 10/22/2024 20:14:05, Bedsheet, Cotton, RR Textiles, Surat, All time,200,230,300, Good, Yes,599,-369,Underpriced,253.0
149, 10/22/2024 20:16:10, Skirt, Linen, Royal Fabrics, Ahmedabad, Summer,250,280,350, Good, Yes,250,30,Competitive,280.0
150, 10/22/2024 20:18:05, Pajamas, Cotton, Vimal Textiles, Ahmedabad, All time,150,180,250, Good, Yes,899,-719,Underpriced,198.0
151, 10/22/2024 20:20:10, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,499,-249,Underpriced,275.0
152, 10/22/2024 20:22:15, Kurta, Rayon, Vasanth Textiles, Tirupur, Summer,340,380,450, Good, Yes,350,30,Competitive,380.0
153, 10/22/2024 20:24:05, Handkerchief, Cotton, Sai Ram Fabrics, Tirupur, All time,20,25,35, Good, Yes,369,-344,Underpriced,27.5
154, 10/22/2024 20:26:10, Saree, Silk, Sri Lakshmi Silks, Surat, Marriage,650,700,850, Good, Yes,670,30,Competitive,700.0
155, 10/22/2024 20:28:15, Dupatta, Silk, Emco Textiles, Jetpur, All time,280,320,400, Good, Yes,1679,-1359,Underpriced,352.0
156, 10/22/2024 20:30:10, Blouse, Cotton, Sathya Textiles, Pali, All time,70,90,120, Good, Yes,60,30,Competitive,90.0
157, 10/22/2024 20:32:15, Pajamas, Cotton, Vimal Textiles, Ahmedabad, Summer,150,180,250, Good, Yes,900,-720,Underpriced,198.0
158, 10/22/2024 20:34:10, Skirt, Chiffon, Ravi Textiles, Surat, All time,300,340,420, Good, Yes,399,-59,Underpriced,374.0
159, 10/22/2024 20:36:15, Shirt, Linen, Sri Velavan Textiles, Erode, All time,250,280,350, Good, Yes,599,-319,Underpriced,308.0
160, 10/22/2024 20:38:10, Bedsheet, Cotton, RR Textiles, Surat, All time,180,210,260, Good, Yes,663,-453,Underpriced,231.0
161, 10/22/2024 20:40:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,499,-249,Underpriced,275.0
162, 10/22/2024 20:42:10, Lungi, Cotton, Shree Ram Textiles, Erode, All time,100,130,160, Good, Yes,899,-769,Underpriced,143.0
163, 10/22/2024 20:44:15, Kurta, Linen, Swastik Textiles, Jaipur, Summer,320,360,450, Good, Yes,330,30,Competitive,360.0
164, 10/22/2024 20:46:05, Saree, Chiffon, Ravi Textiles, Surat, All time,400,450,600, Good, Yes,420,30,Competitive,450.0
165, 10/22/2024 20:48:15, Blouse, Silk, Shree Fabrics, Pali, All time,130,150,200, Good, Yes,799,-649,Underpriced,165.0
166, 10/22/2024 20:50:05, Dupatta, Cotton, Balaji Textiles, Surat, Summer,280,320,400, Good, Yes,1679,-1359,Underpriced,352.0
167, 10/22/2024 20:52:10, Pillow cover, Cotton, RSN Textiles, Erode, All time,30,40,50, Good, Yes,497,-457,Underpriced,44.0
168, 10/22/2024 20:54:05, Bedsheet, Cotton, RR Textiles, Surat, All time,200,230,300, Good, Yes,200,30,Competitive,230.0
169, 10/22/2024 20:56:10, Skirt, Linen, Royal Fabrics, Ahmedabad, Summer,250,280,350, Good, Yes,329,-49,Underpriced,308.0
170, 10/22/2024 20:58:05, Pajamas, Cotton, Vimal Textiles, Ahmedabad, All time,150,180,250, Good, Yes,649,-469,Underpriced,198.0
171, 10/22/2024 21:00:10, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,599,-349,Underpriced,275.0
172, 10/22/2024 21:02:15, Kurta, Rayon, Vasanth Textiles, Tirupur, Summer,340,380,450, Good, Yes,350,30,Competitive,380.0
173, 10/22/2024 21:04:05, Handkerchief, Cotton, Sai Ram Fabrics, Tirupur, All time,20,25,35, Good, Yes,294,-269,Underpriced,27.5
174, 10/22/2024 21:06:10, Saree, Silk, Sri Lakshmi Silks, Surat, Marriage,650,700,850, Good, Yes,670,30,Competitive,700.0
175, 10/22/2024 21:08:15, Dupatta, Silk, Emco Textiles, Jetpur, All time,280,320,400, Good, Yes,1679,-1359,Underpriced,352.0
176, 10/22/2024 21:10:10, Blouse, Cotton, Sathya Textiles, Pali, All time,70,90,120, Good, Yes,389,-299,Underpriced,99.0
177, 10/22/2024 21:12:15, Pajamas, Cotton, Vimal Textiles, Ahmedabad, Summer,150,180,250, Good, Yes,669,-489,Underpriced,198.0
178, 10/22/2024 21:14:10, Skirt, Chiffon, Ravi Textiles, Surat, All time,300,340,420, Good, Yes,329,11,Competitive,340.0
179, 10/22/2024 21:16:15, Shirt, Linen, Sri Velavan Textiles, Erode, All time,250,280,350, Good, Yes,639,-359,Underpriced,308.0
180, 10/22/2024 21:18:10, Bedsheet, Cotton, RR Textiles, Surat, All time,180,210,260, Good, Yes,599,-389,Underpriced,231.0
181, 10/22/2024 21:20:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,599,-349,Underpriced,275.0
182, 10/22/2024 21:22:10, Lungi, Cotton, Shree Ram Textiles, Erode, All time,100,130,160, Good, Yes,298,-168,Underpriced,143.0
183, 10/22/2024 21:24:15, Kurta, Linen, Swastik Textiles,Surat,All time,140,170,200,Good,Yes,140,30,Competitive,170.0
184, 10/22/2024 21:26:05, Saree, Chiffon, Ravi Textiles, Surat, All time,400,450,600, Good, Yes,420,30,Competitive,450.0
185, 10/22/2024 21:28:15, Blouse, Silk, Shree Fabrics, Pali, All time,130,150,200, Good, Yes,539,-389,Underpriced,165.0
186, 10/22/2024 21:30:05, Dupatta, Cotton, Balaji Textiles, Surat, Summer,280,320,400, Good, Yes,1679,-1359,Underpriced,352.0
187, 10/22/2024 21:32:10, Pillow cover, Cotton, RSN Textiles, Erode, All time,30,40,50, Good, Yes,10,30,Competitive,40.0
188, 10/22/2024 21:34:05, Bedsheet, Cotton, RR Textiles, Surat, All time,200,230,300, Good, Yes,663,-433,Underpriced,253.0
189, 10/22/2024 21:36:10, Skirt, Linen, Royal Fabrics, Ahmedabad, Summer,250,280,350, Good, Yes,329,-49,Underpriced,308.0
190, 10/22/2024 21:38:05, Pajamas, Cotton, Vimal Textiles, Ahmedabad, All time,150,180,250, Good, Yes,669,-489,Underpriced,198.0
191, 10/22/2024 21:40:10, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,220,30,Competitive,250.0
192, 10/22/2024 21:42:15, Kurta, Rayon, Vasanth Textiles, Tirupur, Summer,340,380,450, Good, Yes,350,30,Competitive,380.0
193, 10/22/2024 21:44:05, Handkerchief, Cotton, Sai Ram Fabrics, Tirupur, All time,20,25,35, Good, Yes,0,25,Competitive,25.0
194, 10/22/2024 21:46:10, Saree, Silk, Sri Lakshmi Silks, Surat, Marriage,650,700,850, Good, Yes,1539,-839,Underpriced,770.0
195, 10/22/2024 21:48:15, Dupatta, Silk, Emco Textiles, Jetpur, All time,280,320,400, Good, Yes,237,83,Overpriced,336.0
196, 10/22/2024 21:50:10, Blouse, Cotton, Sathya Textiles, Pali, All time,70,90,120, Good, Yes,60,30,Competitive,90.0
197, 10/22/2024 21:52:15, Pajamas, Cotton, Vimal Textiles, Ahmedabad, Summer,150,180,250, Good, Yes,899,-719,Underpriced,198.0
198, 10/22/2024 21:54:10, Skirt, Chiffon, Ravi Textiles, Surat, All time,300,340,420, Good, Yes,329,11,Competitive,340.0
199, 10/22/2024 21:56:15, Shirt, Linen, Sri Velavan Textiles, Erode, All time,250,280,350, Good, Yes,879,-599,Underpriced,308.0
200, 10/22/2024 21:58:10, Bedsheet, Cotton, RR Textiles, Surat, All time,180,210,260, Good, Yes,599,-389,Underpriced,231.0
201, 10/22/2024 22:00:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,1399,-1149,Underpriced,275.0
202, 10/22/2024 22:02:10, Lungi, Cotton, Shree Ram Textiles, Erode, All time,100,130,160, Good, Yes,298,-168,Underpriced,143.0
